	chromosome	db	type	start	stop	strand	gene_type	gene_name
0	1	HAVANA	gene	762988	794826	+	processed_transcript	RP11-206L10.11
1	1	HAVANA	gene	1246965	1260071	-	protein_coding	CPSF3L
3	1	HAVANA	gene	1849029	1850712	-	protein_coding	TMEM52
5	1	HAVANA	gene	2323267	2336883	+	protein_coding	RER1
7	1	HAVANA	gene	3569084	3652765	+	protein_coding	TP73
8	1	HAVANA	gene	6051526	6161253	+	protein_coding	KCNAB2
10	1	HAVANA	gene	6265535	6281359	+	protein_coding	RNF207
12	1	HAVANA	gene	6484848	6521430	+	protein_coding	ESPN
14	1	HAVANA	gene	6845384	7829766	+	protein_coding	CAMTA1
16	1	HAVANA	gene	7979907	8000926	-	protein_coding	TNFRSF9
18	1	HAVANA	gene	8412457	8877702	-	protein_coding	RERE
20	1	HAVANA	gene	9095166	9148537	-	protein_coding	SLC2A5
22	1	HAVANA	gene	9789084	9884584	-	protein_coding	CLSTN1
24	1	HAVANA	gene	10516579	10532583	-	protein_coding	DFFA
26	1	HAVANA	gene	11072414	11085796	+	protein_coding	TARDBP
28	1	HAVANA	gene	11166592	11322564	-	protein_coding	MTOR
30	1	HAVANA	gene	12998181	13117751	-	protein_coding	PRAMEF6
31	1	HAVANA	gene	13196270	13199067	+	pseudogene	WI2-2994D6.1
32	1	HAVANA	gene	14026693	14151574	+	protein_coding	PRDM2
34	1	HAVANA	gene	15817327	15853029	-	protein_coding	CASP9
36	1	HAVANA	gene	16083102	16113089	+	protein_coding	FBLIM1
38	1	HAVANA	gene	16847189	16848291	+	lincRNA	RP4-798A10.4
39	1	HAVANA	gene	17066768	17299474	+	protein_coding	CROCC
40	1	HAVANA	gene	17698691	17728195	+	processed_transcript	PADI6
42	1	HAVANA	gene	17866330	18024369	+	protein_coding	ARHGEF10L
44	1	HAVANA	gene	19175767	19247615	-	protein_coding	RP13-279N23.2
45	1	HAVANA	gene	19197926	19229275	-	protein_coding	ALDH4A1
48	1	HAVANA	gene	20990507	21044510	-	protein_coding	KIF17
50	1	HAVANA	gene	21922708	21995801	-	protein_coding	RAP1GAP
52	1	HAVANA	gene	23279536	23291831	-	protein_coding	LACTBL1
54	1	HAVANA	gene	24069645	24088549	+	protein_coding	TCEB3
55	1	HAVANA	gene	24086872	24104777	-	antisense	RP5-886K2.3
