gene	snp	evidence	group	TAD_ID	chromosome	TAD_Start	TAD_End	TAD_UCSC	go_id	go_name	pval	adjP
DFFA	rs636291	gwas	prostate_cancer	14	chr1	10517413	11077413	chr1:10517413-11077413				
GOLPH3L	rs17599629	gwas	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376				
ARNT	rs17599629	tad	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
CTSK	rs17599629	tad	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
CTSS	rs17599629	tad	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
ENSA	rs17599629	tad	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
MCL1	rs17599629	tad	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376	GO:1901099	negative regulation of signal transduction in absence of ligand	8.905057279751108e-05	0.0382451007647977
SETDB1	rs17599629	tad	prostate_cancer	196	chr1	150173376	151013376	chr1:150173376-151013376	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
KCNN3	rs1218582	gwas	prostate_cancer	205	chr1	154133376	155173376	chr1:154133376-155173376				
ADAM15	rs1218582	tad	prostate_cancer	205	chr1	154133376	155173376	chr1:154133376-155173376	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
IL6R	rs1218582	tad	prostate_cancer	205	chr1	154133376	155173376	chr1:154133376-155173376	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
UBE2Q1	rs1218582	tad	prostate_cancer	205	chr1	154133376	155173376	chr1:154133376-155173376	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
MDM4	rs4245739	gwas	prostate_cancer	289	chr1	204453377	205733377	chr1:204453377-205733377				
NUAK2	rs4245739	tad	prostate_cancer	289	chr1	204453377	205733377	chr1:204453377-205733377	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
PIK3C2B	rs4245739	tad	prostate_cancer	289	chr1	204453377	205733377	chr1:204453377-205733377	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
GRHL1	rs11902236	gwas	prostate_cancer	354	chr2	9602549	10202549	chr2:9602549-10202549				
ADAM17	rs11902236	tad	prostate_cancer	354	chr2	9602549	10202549	chr2:9602549-10202549	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
NOL10	rs9287719	gwas	prostate_cancer	355	chr2	10202549	10842549	chr2:10202549-10842549				
C2orf43	rs13385191	gwas	prostate_cancer	364	chr2	20856519	22546495	chr2:20856519-22546495				
GDF7	rs13385191	tad	prostate_cancer	364	chr2	20856519	22546495	chr2:20856519-22546495	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
ZFP36L2	rs1465618	gwas	prostate_cancer	391	chr2	43026496	43826496	chr2:43026496-43826496				
EHBP1	rs721048	gwas	prostate_cancer	409	chr2	62666496	63266496	chr2:62666496-63266496				
VAMP8	rs10187424	gwas_tad	prostate_cancer	432	chr2	85586489	85826489	chr2:85586489-85826489	GO:0032103	positive regulation of response to external stimulus	0.000103061315629871	0.0413620196800897
ITGA6	rs12621278	gwas_tad	prostate_cancer	506	chr2	173011754	173611754	chr2:173011754-173611754	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
MLPH	rs7584330	gwas	prostate_cancer	576	chr2	238015261	239055261	chr2:238015261-239055261				
COL6A3	rs7584330	tad	prostate_cancer	576	chr2	238015261	239055261	chr2:238015261-239055261	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
PRLH	rs7584330	tad	prostate_cancer	576	chr2	238015261	239055261	chr2:238015261-239055261	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
STK25	rs3771570	gwas	prostate_cancer	578	chr2	241631327	243031327	chr2:241631327-243031327				
BOK	rs3771570	tad	prostate_cancer	578	chr2	241631327	243031327	chr2:241631327-243031327	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
CHMP2B	rs17181170	gwas	prostate_cancer	678	chr3	86757310	87277310	chr3:86757310-87277310				
VGLL3	rs2660753	gwas	prostate_cancer	678	chr3	86757310	87277310	chr3:86757310-87277310				
VGLL3	rs9284813	gwas	prostate_cancer	678	chr3	86757310	87277310	chr3:86757310-87277310				
SIDT1	rs7611694	gwas	prostate_cancer	699	chr3	112757310	113357310	chr3:112757310-113357310				
EEFSEC	rs10934853	gwas	prostate_cancer	716	chr3	127797310	128317310	chr3:127797310-128317310				
GATA2	rs10934853	tad	prostate_cancer	716	chr3	127797310	128317310	chr3:127797310-128317310	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
ZBTB38	rs6763931	gwas	prostate_cancer	731	chr3	140997310	141637310	chr3:140997310-141637310				
CLDN11	rs10936632	gwas	prostate_cancer	763	chr3	169477306	170597306	chr3:169477306-170597306				
COX18	rs10009409	gwas	prostate_cancer	857	chr4	72581136	73941136	chr4:72581136-73941136				
