gene	evidence	TAD ID	chromosome	TAD Start	TAD End	UCSC
ABCC8	tad	1938	chr11	17243424	17563424	chr11:17243424-17563424
KCNJ11	gwas_tad	1938	chr11	17243424	17563424	chr11:17243424-17563424
SLC16A11	gwas	2573	chr17	6539276	7099276	chr17:6539276-7099276
JAZF1	gwas	1361	chr7	28153475	28913475	chr7:28153475-28913475
ANXA5	gwas	908	chr4	120980552	122740550	chr4:120980552-122740550
TMEM155	gwas	908	chr4	120980552	122740550	chr4:120980552-122740550
SPRY2	gwas	2266	chr13	80141999	81621999	chr13:80141999-81621999
PEPD	gwas	2755	chr19	33708160	34268160	chr19:33708160-34268160
POU5F1	gwas	1197	chr6	30412021	31372021	chr6:30412021-31372021
ZNF800	gwas	1461	chr7	124532764	127212764	chr7:124532764-127212764
HNRNPKP3	gwas	1964	chr11	41243424	43283424	chr11:41243424-43283424
VPS26A	gwas	1851	chr10	70769994	71169994	chr10:70769994-71169994
GIPR	gwas_tad	2778	chr19	45868160	46228160	chr19:45868160-46228160
LINC00977	gwas	1617	chr8	127850818	130770818	chr8:127850818-130770818
C15orf38-AP3S2	gwas	2454	chr15	89878996	90798996	chr15:89878996-90798996
AP3S2	gwas	2454	chr15	89878996	90798996	chr15:89878996-90798996
LRTM1	gwas	647	chr3	54424960	55464960	chr3:54424960-55464960
CHCHD2P9	gwas	1706	chr9	81730180	82770180	chr9:81730180-82770180
RAF1	tad	591	chr3	11105000	12865000	chr3:11105000-12865000
GSTM5P1	gwas	591	chr3	11105000	12865000	chr3:11105000-12865000
PPARG	gwas	591	chr3	11105000	12865000	chr3:11105000-12865000
TIMP4	gwas	591	chr3	11105000	12865000	chr3:11105000-12865000
KLF14	gwas	1464	chr7	129692764	130549460	chr7:129692764-130549460
CMIP	gwas	2554	chr16	81042499	81922499	chr16:81042499-81922499
WWOX	tad	2552	chr16	78122499	80562499	chr16:78122499-80562499
RNA5SP431	gwas	2552	chr16	78122499	80562499	chr16:78122499-80562499
MAF	gwas	2552	chr16	78122499	80562499	chr16:78122499-80562499
TGFB2	tad	307	chr1	218413377	220013377	chr1:218413377-220013377
ZC3H11B	gwas	307	chr1	218413377	220013377	chr1:218413377-220013377
RIMKLBP2	gwas	307	chr1	218413377	220013377	chr1:218413377-220013377
FTO	gwas	2520	chr16	53562499	55442499	chr16:53562499-55442499
TMEM18	gwas	347	chr2	10000	1860993	chr2:10000-1860993
FAM150B	gwas	347	chr2	10000	1860993	chr2:10000-1860993
LINGO2	gwas	1670	chr9	28090000	29770000	chr9:28090000-29770000
MTNR1B	gwas_tad	2023	chr11	92680352	93480352	chr11:92680352-93480352
WFS1	gwas	802	chr4	5949099	6589099	chr4:5949099-6589099
MIR3941	gwas	1908	chr10	124010010	124210010	chr10:124010010-124210010
FAF1	gwas_tad	92	chr1	50827413	51227412	chr1:50827413-51227412
VEGFA	gwas	1213	chr6	43572022	44332022	chr6:43572022-44332022
THADA	gwas	391	chr2	43026496	43826496	chr2:43026496-43826496
HNF1B	gwas_tad	2598	chr17	34805887	36295000	chr17:34805887-36295000
DYNLL1	tad	2200	chr12	120635617	121675617	chr12:120635617-121675617
OASL	gwas	2200	chr12	120635617	121675617	chr12:120635617-121675617
SIRT4	tad	2200	chr12	120635617	121675617	chr12:120635617-121675617
HNF1A	gwas	2200	chr12	120635617	121675617	chr12:120635617-121675617
ZBED3-AS1	gwas	1054	chr5	76404244	76804244	chr5:76404244-76804244
PDE8B	tad	1054	chr5	76404244	76804244	chr5:76404244-76804244
SOX4	tad	1188	chr6	20092021	21932021	chr6:20092021-21932021
CDKAL1	gwas	1188	chr6	20092021	21932021	chr6:20092021-21932021
