gene	evidence	TAD ID	chromosome	TAD Start	TAD End	UCSC
MPP7	gwas	1819	chr10	27639994	28719994	chr10:27639994-28719994
FUBP3	gwas	1779	chr9	133290179	133570179	chr9:133290179-133570179
SOST	gwas	2601	chr17	41404474	41844474	chr17:41404474-41844474
WLS	gwas	119	chr1	68547412	68907412	chr1:68547412-68907412
GNG12-AS1	gwas	119	chr1	68547412	68907412	chr1:68547412-68907412
FOXC2	tad	2561	chr16	86562499	87362499	chr16:86562499-87362499
FOXL1	gwas_tad	2561	chr16	86562499	87362499	chr16:86562499-87362499
GPATCH1	gwas	2754	chr19	33068160	33708160	chr19:33068160-33708160
RERE	gwas	10	chr1	7997413	8517413	chr1:7997413-8517413
DNM3	gwas	236	chr1	171973377	172413377	chr1:171973377-172413377
CCDC170	gwas	1313	chr6	151718307	153038307	chr6:151718307-153038307
RPS3AP2	gwas	2470	chr16	1139999	2099999	chr16:1139999-2099999
PTX4	gwas	2470	chr16	1139999	2099999	chr16:1139999-2099999
FBXL14	gwas	2076	chr12	145739	1729739	chr12:145739-1729739
LINC00942	gwas	2076	chr12	145739	1729739	chr12:145739-1729739
WNT5B	tad	2076	chr12	145739	1729739	chr12:145739-1729739
DSPP	tad	873	chr4	88180976	88940976	chr4:88180976-88940976
MEPE	gwas_tad	873	chr4	88180976	88940976	chr4:88180976-88940976
HSP90AB3P	gwas	873	chr4	88180976	88940976	chr4:88180976-88940976
RUNX2	tad	1214	chr6	44372022	45932041	chr6:44372022-45932041
MIR4642	gwas	1214	chr6	44372022	45932041	chr6:44372022-45932041
SUPT3H	gwas	1214	chr6	44372022	45932041	chr6:44372022-45932041
CASC17	gwas	2626	chr17	68648405	70528405	chr17:68648405-70528405
SOX9	tad	2626	chr17	68648405	70528405	chr17:68648405-70528405
MIR3660	gwas	1065	chr5	88004244	90124244	chr5:88004244-90124244
MEF2C	tad	1065	chr5	88004244	90124244	chr5:88004244-90124244
MEF2C-AS1	gwas	1065	chr5	88004244	90124244	chr5:88004244-90124244
LTBP3	tad	1988	chr11	64603424	65363424	chr11:64603424-65363424
