TADEnd	TADidx	TADStart	chrom	custom_snp	db	gene_name	gene_type	group	start	stop	strand	type
11077413.0	14	10517413.0	1	rs636291	HAVANA	RP5-1113E3.3	antisense	prostate_cancer	10518612.0	10519395.0	+	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	PEX14	protein_coding	prostate_cancer	10532345.0	10690815.0	+	gene
11077413.0	14	10517413.0	1	rs636291	ENSEMBL	RN7SL614P	misc_RNA	prostate_cancer	10676893.0	10677170.0	+	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	CASZ1	protein_coding	prostate_cancer	10696661.0	10856707.0	-	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	RP4-734G22.3	antisense	prostate_cancer	10699298.0	10714390.0	+	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	RP11-340B24.3	pseudogene	prostate_cancer	10955818.0	10956055.0	+	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	C1orf127	protein_coding	prostate_cancer	11006528.0	11042094.0	-	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	CFL1P6	pseudogene	prostate_cancer	11051035.0	11051854.0	-	gene
11077413.0	14	10517413.0	1	rs636291	ENSEMBL	AL713997.1	miRNA	prostate_cancer	11058233.0	11058320.0	-	gene
11077413.0	14	10517413.0	1	rs636291	ENSEMBL	Y_RNA	misc_RNA	prostate_cancer	11059919.0	11060002.0	-	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	DFFA	protein_coding	prostate_cancer	10516579.0	10532583.0	-	gene
11077413.0	14	10517413.0	1	rs636291	HAVANA	TARDBP	protein_coding	prostate_cancer	11072414.0	11085796.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RN7SL480P	misc_RNA	prostate_cancer	150183930.0	150184221.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ANP32E	protein_coding	prostate_cancer	150190717.0	150208504.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RNU2-17P	snRNA	prostate_cancer	150209315.0	150209504.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP4-790G17.7	antisense	prostate_cancer	150227489.0	150229681.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	CA14	protein_coding	prostate_cancer	150229554.0	150237478.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	snoU13	snoRNA	prostate_cancer	150234093.0	150234196.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	APH1A	protein_coding	prostate_cancer	150237804.0	150241980.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	C1orf54	protein_coding	prostate_cancer	150240600.0	150253327.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	C1orf51	protein_coding	prostate_cancer	150254953.0	150259505.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	MRPS21	protein_coding	prostate_cancer	150266289.0	150281414.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	PRPF3	protein_coding	prostate_cancer	150293925.0	150325671.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RPRD2	protein_coding	prostate_cancer	150335567.0	150449042.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	TARS2	protein_coding	prostate_cancer	150459887.0	150480078.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ECM1	protein_coding	prostate_cancer	150480538.0	150486265.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	LINC00568	lincRNA	prostate_cancer	150488233.0	150490508.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP11-54A4.2	antisense	prostate_cancer	150521040.0	150530200.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ADAMTSL4	protein_coding	prostate_cancer	150521884.0	150533413.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	AL356356.1	protein_coding	prostate_cancer	150521897.0	150524367.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	MIR4257	miRNA	prostate_cancer	150524405.0	150524490.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ADAMTSL4-AS1	protein_coding	prostate_cancer	150533480.0	150533969.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RN7SL473P	misc_RNA	prostate_cancer	150539040.0	150539336.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RN7SL600P	misc_RNA	prostate_cancer	150541449.0	150541745.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	MCL1	protein_coding	prostate_cancer	150547032.0	150552066.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	SNORA40	snoRNA	prostate_cancer	150573015.0	150573135.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ENSA	protein_coding	prostate_cancer	150573327.0	150602088.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	GOLPH3L	protein_coding	prostate_cancer	150618701.0	150669630.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	HORMAD1	protein_coding	prostate_cancer	150670536.0	150693364.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RNU6-1042P	snRNA	prostate_cancer	150674342.0	150674448.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	CTSS	protein_coding	prostate_cancer	150702672.0	150738433.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP11-363I22.3	pseudogene	prostate_cancer	150752748.0	150753120.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	CTSK	protein_coding	prostate_cancer	150768684.0	150780799.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	UBE2D3P3	pseudogene	prostate_cancer	150772949.0	150773507.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ARNT	protein_coding	prostate_cancer	150782181.0	150849244.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RNU6-1309P	snRNA	prostate_cancer	150785067.0	150785174.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP11-235D19.2	pseudogene	prostate_cancer	150853712.0	150854159.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	Y_RNA	misc_RNA	prostate_cancer	150854927.0	150855011.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP11-235D19.3	pseudogene	prostate_cancer	150876372.0	150876689.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	SETDB1	protein_coding	prostate_cancer	150898739.0	150937213.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	CERS2	protein_coding	prostate_cancer	150933059.0	150947479.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP11-316M1.12	antisense	prostate_cancer	150937736.0	150938734.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	RP11-316M1.3	antisense	prostate_cancer	150945599.0	150948010.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	ANXA9	protein_coding	prostate_cancer	150954493.0	150968110.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	FAM63A	protein_coding	prostate_cancer	150969025.0	150980851.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	PRUNE	protein_coding	prostate_cancer	150980896.0	151008189.0	+	gene
151013376.0	196	150173376.0	1	rs17599629	ENSEMBL	RNU6-884P	snRNA	prostate_cancer	150995222.0	150995328.0	-	gene
151013376.0	196	150173376.0	1	rs17599629	HAVANA	BNIPL	protein_coding	prostate_cancer	151009046.0	151020076.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	RN7SL431P	misc_RNA	prostate_cancer	154138723.0	154139025.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	MIR190B	miRNA	prostate_cancer	154166141.0	154166219.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	C1orf189	protein_coding	prostate_cancer	154171848.0	154178809.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	C1orf43	protein_coding	prostate_cancer	154179182.0	154193104.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	UBAP2L	protein_coding	prostate_cancer	154192655.0	154243986.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	AL590431.1	miRNA	prostate_cancer	154226921.0	154226997.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	SNORA58	snoRNA	prostate_cancer	154232203.0	154232338.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	HAX1	protein_coding	prostate_cancer	154244987.0	154248351.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	SNORD59	snoRNA	prostate_cancer	154260936.0	154261003.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	RNU6-239P	snRNA	prostate_cancer	154267979.0	154268077.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	RNU6-121P	snRNA	prostate_cancer	154270126.0	154270224.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	AQP10	protein_coding	prostate_cancer	154293566.0	154297801.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	ATP8B2	protein_coding	prostate_cancer	154298029.0	154323783.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	ENSEMBL	RNU7-57P	snRNA	prostate_cancer	154311219.0	154311278.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	RP11-350G8.4	pseudogene	prostate_cancer	154349442.0	154351749.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	RP11-350G8.3	pseudogene	prostate_cancer	154350683.0	154351565.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	RP11-350G8.5	antisense	prostate_cancer	154374804.0	154379040.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	IL6R	protein_coding	prostate_cancer	154377669.0	154441926.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	RP11-350G8.7	pseudogene	prostate_cancer	154386845.0	154387613.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	SHE	protein_coding	prostate_cancer	154442248.0	154474589.0	-	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	RP11-350G8.9	antisense	prostate_cancer	154452488.0	154453977.0	+	gene
155173376.0	205	154133376.0	1	rs1218582	HAVANA	TDRD10	protein_coding	prostate_cancer	154474695.0	154520623.0	+	gene
