userId	geneSymbol	geneName	entrezgene	gLink
PEX14	PEX14	peroxisomal biogenesis factor 14	5195	https://www.ncbi.nlm.nih.gov/gene/?term=5195
RN7SL614P	RN7SL614P	RNA, 7SL, cytoplasmic 614, pseudogene	106481089	https://www.ncbi.nlm.nih.gov/gene/?term=106481089
CASZ1	CASZ1	castor zinc finger 1	54897	https://www.ncbi.nlm.nih.gov/gene/?term=54897
C1orf127	C1orf127	chromosome 1 open reading frame 127	148345	https://www.ncbi.nlm.nih.gov/gene/?term=148345
CFL1P6	CFL1P6	cofilin 1 pseudogene 6	390996	https://www.ncbi.nlm.nih.gov/gene/?term=390996
DFFA	DFFA	DNA fragmentation factor subunit alpha	1676	https://www.ncbi.nlm.nih.gov/gene/?term=1676
TARDBP	TARDBP	TAR DNA binding protein	23435	https://www.ncbi.nlm.nih.gov/gene/?term=23435
RN7SL480P	RN7SL480P	RNA, 7SL, cytoplasmic 480, pseudogene	106481757	https://www.ncbi.nlm.nih.gov/gene/?term=106481757
ANP32E	ANP32E	acidic nuclear phosphoprotein 32 family member E	81611	https://www.ncbi.nlm.nih.gov/gene/?term=81611
RNU2-17P	RNU2-17P	RNA, U2 small nuclear 17, pseudogene	106480204	https://www.ncbi.nlm.nih.gov/gene/?term=106480204
CA14	CA14	carbonic anhydrase 14	23632	https://www.ncbi.nlm.nih.gov/gene/?term=23632
APH1A	APH1A	aph-1 homolog A, gamma-secretase subunit	51107	https://www.ncbi.nlm.nih.gov/gene/?term=51107
C1orf54	C1orf54	chromosome 1 open reading frame 54	79630	https://www.ncbi.nlm.nih.gov/gene/?term=79630
MRPS21	MRPS21	mitochondrial ribosomal protein S21	54460	https://www.ncbi.nlm.nih.gov/gene/?term=54460
PRPF3	PRPF3	pre-mRNA processing factor 3	9129	https://www.ncbi.nlm.nih.gov/gene/?term=9129
RPRD2	RPRD2	regulation of nuclear pre-mRNA domain containing 2	23248	https://www.ncbi.nlm.nih.gov/gene/?term=23248
TARS2	TARS2	threonyl-tRNA synthetase 2, mitochondrial	80222	https://www.ncbi.nlm.nih.gov/gene/?term=80222
ECM1	ECM1	extracellular matrix protein 1	1893	https://www.ncbi.nlm.nih.gov/gene/?term=1893
ADAMTSL4	ADAMTSL4	ADAMTS like 4	54507	https://www.ncbi.nlm.nih.gov/gene/?term=54507
MIR4257	MIR4257	microRNA 4257	100422997	https://www.ncbi.nlm.nih.gov/gene/?term=100422997
ADAMTSL4-AS1	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	574406	https://www.ncbi.nlm.nih.gov/gene/?term=574406
RN7SL473P	RN7SL473P	RNA, 7SL, cytoplasmic 473, pseudogene	106479396	https://www.ncbi.nlm.nih.gov/gene/?term=106479396
RN7SL600P	RN7SL600P	RNA, 7SL, cytoplasmic 600, pseudogene	106481086	https://www.ncbi.nlm.nih.gov/gene/?term=106481086
MCL1	MCL1	MCL1, BCL2 family apoptosis regulator	4170	https://www.ncbi.nlm.nih.gov/gene/?term=4170
